Questioner.Quote.Offer,Lender ID,Amortization,Status,Month#,TopicCreatedOn
eeceb589-5e42-496c-9d31-e0e36baae126b70b893e-24e7-4ed6-ad50-69fe12973df749c6fc6b-f2b4-44a3-8d1f-936196705896,83,Variable,1,6,2018-06-05 15:13:33 GMT
0a41ed27-cf4f-4011-a977-e02549fc2c24ed5b4c38-cfbb-4e7a-9c42-4c4451170d3306ff1fd9-e784-498e-88e2-efbfd35614ce,83,Variable,1,6,2018-06-05 18:37:43 GMT
0bce2e84-a944-4a93-9617-0468450e7bf479243037-ec73-4e52-9b3e-d69bc40fac358a9bde5d-0c89-4506-9f4d-2023136c5be6,232,Variable,1,6,2018-06-05 18:52:34 GMT
ae27ba7e-9e7e-4363-b7f4-daffa45a73774ebcea96-eadf-40ae-9da1-70c57f30df12ddc2dbfa-df7d-4854-9881-b21717b09d22,83,Variable,1,6,2018-06-05 19:25:01 GMT
3f4ba1a8-f13a-4d20-893a-4c974885d7249e446468-4d71-4c40-9c1a-7e087fd342806156d6d6-9501-4c8f-91a7-214e490b9e7d,83,Variable,1,6,2018-06-05 19:59:41 GMT
703cd238-15f1-4261-beaf-2351bdbe8f4862397004-4082-4e3d-a9f4-747fb86acb6f140a13c1-a363-4bd2-867e-f3e4a1841a64,83,Variable,1,6,2018-06-05 22:14:22 GMT
2dfbd93c-9a4f-4e94-af91-b2de36037d1f74255e82-32da-4935-8b4d-8667f093605aec4d3de8-4c22-495c-814e-616e0e657036,136,Variable,1,6,2018-06-05 23:10:24 GMT
2dfbd93c-9a4f-4e94-af91-b2de36037d1f74255e82-32da-4935-8b4d-8667f093605ad26e39e0-e819-40d8-9da9-fcb2bad8d4ae,232,Variable,1,6,2018-06-05 23:10:19 GMT
22378da8-10c3-4a5c-ba36-fd1b42b3a319b79e25a3-f584-4033-8958-1e5c360bc2c502832bde-8128-427d-96d7-b2d982ad879b,83,Variable,1.00E+00,6,2018-06-06 03:22:50 GMT
21e92ba5-2a51-4503-afb3-937c9f5fb795124efde2-94a7-4569-bbcc-eec9811e38be2edce818-e43b-4597-88ee-4f9ba1d10b2c,83,Variable,1,6,2018-06-06 12:53:51 GMT
21e92ba5-2a51-4503-afb3-937c9f5fb795124efde2-94a7-4569-bbcc-eec9811e38be82f2d25b-57a9-4876-af45-1846759bb798,232,Variable,1,6,2018-06-06 12:54:26 GMT
fc08ea15-3c3a-42aa-9024-759a593553d74afcbca4-e765-4ddd-af1e-a9179f20b6b4f0198477-18fa-49bc-9108-f9fac6b83f10,136,Variable,1,6,2018-06-06 13:34:58 GMT
33c1aba9-3d6a-499e-9d01-c4c103a62083ad787339-22bf-4cdb-967e-bc23de7afd5b3f3e1ede-1052-484a-a771-a00ef58fafd5,83,Variable,1,6,2018-06-06 16:00:07 GMT
33c1aba9-3d6a-499e-9d01-c4c103a62083ad787339-22bf-4cdb-967e-bc23de7afd5b57ac3768-e36c-454f-9acd-51dc7296c9fb,232,Variable,1,6,2018-06-06 16:43:08 GMT
bdf4ca0c-1b42-4b9f-b788-5dfaa66a7538d716c664-572b-44db-9274-7dba35b610f5634a38ce-b2b8-4b8e-84ee-a1ad90e45fe3,136,Variable,1,6,2018-06-06 18:10:55 GMT
c2ba8c1f-1960-48c4-8f02-79e664e2576bcf2db057-26d2-4abd-a4c8-77a2f6af482527061eb7-e10f-41ed-b94c-19d10caf5daf,83,Variable,1,6,2018-06-06 18:17:15 GMT
c2ba8c1f-1960-48c4-8f02-79e664e2576bcf2db057-26d2-4abd-a4c8-77a2f6af482527061eb7-e10f-41ed-b94c-19d10caf5daf,83,Variable,1,6,2018-06-06 18:20:01 GMT
5c9e8e89-8114-43da-97cf-0c1bc076d69f1e177101-f8a4-422e-b8fb-1a5e08a8dc89d392b6ae-ba0e-45ae-be02-a881763e1ff6,83,Variable,1,6,2018-06-06 18:27:28 GMT
c2ba8c1f-1960-48c4-8f02-79e664e2576bcf2db057-26d2-4abd-a4c8-77a2f6af482527061eb7-e10f-41ed-b94c-19d10caf5daf,83,Variable,1,6,2018-06-06 18:36:46 GMT
c2ba8c1f-1960-48c4-8f02-79e664e2576bcf2db057-26d2-4abd-a4c8-77a2f6af482527061eb7-e10f-41ed-b94c-19d10caf5daf,83,Variable,1,6,2018-06-06 18:37:06 GMT
c2ba8c1f-1960-48c4-8f02-79e664e2576bcf2db057-26d2-4abd-a4c8-77a2f6af482527061eb7-e10f-41ed-b94c-19d10caf5daf,83,Variable,1,6,2018-06-06 18:37:45 GMT
ae75c020-41a1-4573-af4e-4fef9cd06c1ffce464bb-9b76-4da2-8137-ea39c96e6c5e73daa92d-e4ae-4c8f-a6fd-7dd3d8dcf15f,83,Variable,1,6,2018-06-06 18:46:10 GMT
9991e4db-67ae-43c0-9145-f69eda8cddebf697ee3b-7173-456b-857c-87f4505ac97f6456aa51-a82e-4cbc-80b6-838ff48cbdf0,83,Variable,1,6,2018-06-06 19:38:05 GMT
217f7c61-d16c-4f7e-b96d-0c1754e8e93f2396b61b-0954-4191-b356-ae67bb52d6078a443765-e1a7-4f31-b3d3-e4f08b0c2c8d,83,Variable,1,6,2018-06-06 20:54:16 GMT
b284768a-e224-472b-a8f0-7af680c1a1651f489016-4221-4097-b854-0c4f23ea1f16bbae5892-ae8d-4eba-9f32-baf4dcd17481,83,Variable,1,6,2018-06-06 21:40:36 GMT
582a147a-22a1-47eb-b4af-72db0b07bcc955abb2ad-4762-4c2b-a4f5-ad50c06d678f0954ed49-4bde-497e-8838-e71ffd4991ad,83,Variable,1,6,2018-06-06 22:14:57 GMT
74a29e96-4162-43f8-84da-222e73c8cb2a10c69425-b374-4fac-be3a-8f73a042f6bcab4f02c4-47ae-4265-9501-9e0e7ca3da8b,83,Variable,1,6,2018-06-06 23:06:45 GMT
dfb54d36-e568-4df3-9ae2-c059b97e2e96bc920b27-d8a6-45e3-9744-867ce2a5e67155c264de-6f9a-4175-9c77-45eb0701cbe9,83,Variable,1,6,2018-06-06 23:14:49 GMT
ec1422aa-d705-4837-a8d5-6bd7b71c558e10c4cde8-63c6-4d59-9dc5-ac756e880b10552e3a3e-eefa-431d-9dd9-537a3c19b1ab,83,Variable,1,6,2018-06-06 23:34:27 GMT
2f869001-34e4-4573-ae8d-22e49de271b99ee53a8d-3ac5-49d5-9e2e-b213e42d9f5e57e6d239-15db-4933-85e9-1334be8a207e,83,Variable,1,6,2018-06-07 00:20:50 GMT
9224f608-9cee-44c0-b19f-b78eec3d94ff3bf6cb8f-623a-4983-b732-3bd438e84ae64df52c09-8a8d-425a-a4e5-cbddbe211079,83,Variable,1,6,2018-06-07 02:02:19 GMT
a2f41ab5-d1b2-48c5-8651-89f734d37a4202535171-1461-40fe-87ec-facef9fd68396c3e76da-870b-4eaf-95a5-bf438ab33caa,83,Variable,1,6,2018-06-07 13:42:37 GMT
c0acedf6-bfbc-492d-b0d1-6257568702dd385a19e7-62f6-4036-ad87-d089d1f2544b8da99222-7a9a-4f07-af61-f5307c0f59c5,83,Variable,1,6,2018-06-07 15:18:46 GMT
3644e861-1470-45e1-bdbd-eae96fe7a32e3825e76c-fdf6-406f-98d6-94f44da35f599a7c2e3e-e168-47d2-9a35-92fbfa76ef74,83,Variable,1,6,2018-06-07 15:17:53 GMT
86df03d7-acdb-4b89-846a-a7099465afc2601f9f9e-2cf7-4aab-b680-983c9f2f280ee7c58673-4b3b-4af7-a142-367785570888,136,Variable,1,6,2018-06-07 18:03:59 GMT
8e9d160f-3c9c-4816-851e-bd9bd14b00ea733843f4-a61d-49d8-ade6-396831537737f358a6c9-b533-4e96-ba3b-f1a1476a199a,83,Variable,1,6,2018-06-07 18:36:02 GMT
59193bf4-443d-44a3-907c-42459d3fde5a6b6d1aba-b78a-4bd2-89ce-afae4ac88257d35bad62-72fe-4d3d-b66f-81e7b0cb6c0a,83,Variable,1,6,2018-06-07 19:14:07 GMT
f9dca815-b120-4573-9b7d-a012515299fc77adbf6d-867c-4fd3-a83a-db94f16fa8cb38663f7b-04ae-4823-a0b6-0b4a9d6279e7,83,Variable,1,6,2018-06-07 21:32:36 GMT
d6eb0413-7468-4ef5-8511-60b1460f93c57798175f-49f9-494c-ab78-b8ce4d09eed803cf04c0-6b54-4313-9db3-a09afd80c007,83,Variable,1,6,2018-06-07 22:30:44 GMT
96c3bb82-28c5-4e3e-ae80-b018cefb8fedcd34929a-b4e6-49db-a266-fc87a24574c989d61842-6365-44d1-bc39-076439b56be3,83,Variable,1,6,2018-06-07 22:36:18 GMT
cbaf0658-2aed-4cde-8526-d9513b0cb7ff38c10cb9-90bc-4f65-926c-76a674ba80a9a43387fe-b304-4155-bd28-c5297bc2e0da,136,Variable,1,6,2018-06-08 00:10:46 GMT
63bd80c5-27d3-4ba8-8fc7-707d3f6428055785ef83-f84a-4baa-8565-0f1f430d5d86a299aec1-bf21-4e78-b044-04629a65d43e,83,Variable,1,6,2018-06-08 00:17:34 GMT
876247a1-ab34-40b7-9db5-1de91a34885366307485-db80-49a7-ab1c-acfe09c9b771a7f4c495-3dae-4a1a-af42-292c28b72601,162,Variable,1,6,2018-06-08 03:01:34 GMT
ee64833d-45a2-4a25-8513-1c6546bfc3667bf84965-c6e5-44ef-91e5-c0fb5a342ae4d5719a8e-f3c3-4e9e-870a-1b7dd043694f,83,Variable,1,6,2018-06-08 12:48:21 GMT
c6fb99e8-2b13-41c8-8ac7-d305e254d6324f000faa-5e80-443d-9a61-1acc3668a9320e6fa397-4e28-487b-8b65-1c5cf12a1411,232,Variable,1,6,2018-06-08 13:00:19 GMT
49f7156c-0093-4171-859e-61dd9276280d126c371a-26a7-4eaf-9543-18d67548603878d00068-935e-4837-8e28-f66a20afdb7c,83,Variable,1,6,2018-06-08 13:35:35 GMT
18a8bda3-384e-4580-8408-a4cbb6d878e572371c6c-37ed-4fe3-9238-d81ee3d3437b3f8713b9-9ed5-491c-9106-1c5ea4049395,83,Variable,1,6,2018-06-08 16:07:14 GMT
18a8bda3-384e-4580-8408-a4cbb6d878e572371c6c-37ed-4fe3-9238-d81ee3d3437bdc85c760-5321-49fe-a2d6-99ddb85005ab,9,Variable,1,6,2018-06-08 16:07:19 GMT
dd1cb0a9-5d8b-42bf-999c-092ca539f8b2405d6524-1b25-4358-a0a9-c8114300fa09b1450e6f-d908-4af6-9cb6-e59a783e4d27,83,Variable,1,6,2018-06-08 17:50:30 GMT
